date,contract_preamble,expiry_date,mean_low,median,mode,variance
2023-03-10,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-10,PROLLS-23MAR,2023-04-07,14815.255548283452,0,0,4225084867.524092
2023-03-11,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-11,PROLLS-23MAR,2023-04-07,106979.2348426251,100000,100000,7759346448.084732
2023-03-12,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-12,PROLLS-23MAR,2023-04-07,106979.2348426251,100000,100000,7759346448.084732
2023-03-13,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-13,PROLLS-23MAR,2023-04-07,109020.05116915572,100000,100000,9971592803.16273
2023-03-14,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-14,PROLLS-23MAR,2023-04-07,119233.03688700305,100000,200000,10906643805.759035
2023-03-15,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-15,PROLLS-23MAR,2023-04-07,133512.67779839208,100000,100000,12464408157.14603
2023-03-16,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-16,PROLLS-23MAR,2023-04-07,136734.693877551,100000,100000,11915868388.171597
2023-03-17,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-17,PROLLS-23MAR,2023-04-07,134693.8775510204,100000,100000,11653477717.617659
2023-03-18,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-18,PROLLS-23MAR,2023-04-07,137648.492232714,100000,100000,11144272421.576777
2023-03-19,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-19,PROLLS-23MAR,2023-04-07,137648.492232714,100000,100000,11144272421.576777
2023-03-20,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-20,PROLLS-23MAR,2023-04-07,136326.5306122449,100000,100000,10557934194.085798
2023-03-21,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-21,PROLLS-23MAR,2023-04-07,135306.1224489796,100000,100000,10528987921.699293
2023-03-22,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-22,PROLLS-23MAR,2023-04-07,135621.52133580705,100000,100000,10475077533.12153
2023-03-23,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-23,PROLLS-23MAR,2023-04-07,136367.3469387755,100000,100000,9938640566.430655
2023-03-24,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-24,PROLLS-23MAR,2023-04-07,142664.61301501733,100000,100000,9550543272.212584
2023-03-25,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-25,PROLLS-23MAR,2023-04-07,144402.06475246907,100000,100000,8613279049.946955
2023-03-26,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-26,PROLLS-23MAR,2023-04-07,145725.83750481324,100000,100000,8361592913.478409
2023-03-27,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-27,PROLLS-23MAR,2023-04-07,143403.7563125343,100000,100000,7950995063.721063
2023-03-28,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-28,PROLLS-23MAR,2023-04-07,141878.75070589603,100000,100000,8031712948.38698
2023-03-29,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-29,PROLLS-23MAR,2023-04-07,148477.49883722252,100000,100000,7915884846.671547
2023-03-30,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-30,PROLLS-23MAR,2023-04-07,143719.63070942662,100000,100000,8789517117.064789
2023-03-31,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-03-31,PROLLS-23MAR,2023-04-07,153340.62196307094,100000,100000,9342581741.498486
2023-04-01,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-04-01,PROLLS-23MAR,2023-04-07,153340.62196307094,100000,100000,9342581741.498486
2023-04-02,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-04-02,PROLLS-23MAR,2023-04-07,162099.12536443147,100000,100000,7455651981.742301
2023-04-02,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-03,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-04-03,PROLLS-23MAR,2023-04-07,168556.31141345427,200000,200000,8278112286.318743
2023-04-03,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-04,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-04-04,PROLLS-23MAR,2023-04-07,182827.52756274925,200000,200000,9747183366.08973
2023-04-04,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-05,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-04-05,PROLLS-23MAR,2023-04-07,167042.69958784108,200000,200000,8677597897.075413
2023-04-05,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-06,PROLLS-23APR,2023-05-05,43042.67161410019,0,0,12266066824.773424
2023-04-06,PROLLS-23MAR,2023-04-07,182672.9855359702,200000,200000,7413621700.816012
2023-04-06,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-07,PROLLS-23APR,2023-05-05,139682.53968253967,200000,200000,15159989921.894686
2023-04-07,PROLLS-23MAR,2023-04-07,183879.2146493571,200000,200000,6507019363.652009
2023-04-07,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-08,PROLLS-23APR,2023-05-05,182086.16780045352,200000,200000,11062314570.575018
2023-04-08,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-09,PROLLS-23APR,2023-05-05,184693.8775510204,200000,200000,10888171595.16868
2023-04-09,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-10,PROLLS-23APR,2023-05-05,181632.6530612245,200000,200000,11499375260.308205
2023-04-10,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-11,PROLLS-23APR,2023-05-05,174574.32677212896,200000,200000,12712428994.30887
2023-04-11,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-12,PROLLS-23APR,2023-05-05,170492.69411906775,200000,200000,12080049487.742327
2023-04-12,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-13,PROLLS-23APR,2023-05-05,170351.47392290249,200000,200000,9024593019.369501
2023-04-13,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-14,PROLLS-23APR,2023-05-05,173469.38775510204,200000,200000,8683881715.951689
2023-04-14,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-15,PROLLS-23APR,2023-05-05,173469.38775510204,200000,200000,8683881715.951689
2023-04-15,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-16,PROLLS-23APR,2023-05-05,173469.38775510204,200000,200000,8683881715.951689
2023-04-16,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-17,PROLLS-23APR,2023-05-05,179105.9280855199,200000,200000,9203865358.443808
2023-04-17,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-18,PROLLS-23APR,2023-05-05,184693.8775510204,200000,200000,8235110370.6788845
2023-04-18,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-19,PROLLS-23APR,2023-05-05,182913.59096830225,200000,200000,8355471039.775378
2023-04-19,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-20,PROLLS-23APR,2023-05-05,188552.92275439028,200000,200000,7952447657.298099
2023-04-20,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-21,PROLLS-23APR,2023-05-05,191093.22120808126,200000,200000,7954204313.600846
2023-04-21,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-22,PROLLS-23APR,2023-05-05,196501.45772594752,200000,200000,7276389939.565998
2023-04-22,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-23,PROLLS-23APR,2023-05-05,184099.9995466364,200000,200000,9092020053.56491
2023-04-23,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-24,PROLLS-23APR,2023-05-05,157299.07461076524,200000,200000,9517924294.340063
2023-04-24,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-25,PROLLS-23APR,2023-05-05,150700.88641517214,100000,100000,10613299729.166855
2023-04-25,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-26,PROLLS-23APR,2023-05-05,150700.88641517214,100000,100000,10613299729.166855
2023-04-26,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-27,PROLLS-23APR,2023-05-05,145558.22328931573,100000,100000,10235372660.468748
2023-04-27,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-28,PROLLS-23APR,2023-05-05,152082.98195311183,200000,200000,9238788189.050274
2023-04-28,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-29,PROLLS-23APR,2023-05-05,137287.0635857649,100000,100000,8469263352.6356945
2023-04-29,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-04-30,PROLLS-23APR,2023-05-05,133673.4693877551,100000,100000,7947730112.453144
2023-04-30,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-05-01,PROLLS-23APR,2023-05-05,147896.86867113257,100000,200000,8209862552.899251
2023-05-01,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-05-02,PROLLS-23APR,2023-05-05,140898.6585651498,100000,200000,7970053405.881664
2023-05-02,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-05-03,PROLLS-23APR,2023-05-05,158070.60639466014,200000,200000,9814373272.367935
2023-05-03,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-05-04,PROLLS-23APR,2023-05-05,146693.5910703268,200000,200000,8923401986.798061
2023-05-04,PROLLS-23MAY,2023-06-02,183879.2146493571,200000,200000,6507019363.652009
2023-05-05,PROLLS-23APR,2023-05-05,146879.95402281117,100000,100000,7201506452.912796
2023-05-05,PROLLS-23MAY,2023-06-02,183324.1290557931,200000,200000,15602714023.10249
2023-05-06,PROLLS-23MAY,2023-06-02,171919.89992088344,200000,200000,13435866211.657354
2023-05-07,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-07,PROLLS-23MAY,2023-06-02,177364.5456273744,200000,200000,14868703906.063612
2023-05-08,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-08,PROLLS-23MAY,2023-06-02,181999.08105166795,200000,200000,13613545385.425583
2023-05-09,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-09,PROLLS-23MAY,2023-06-02,202572.07307174322,200000,200000,9767459718.966402
2023-05-10,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-10,PROLLS-23MAY,2023-06-02,190698.24112065672,200000,200000,8346392841.390805
2023-05-11,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-11,PROLLS-23MAY,2023-06-02,170034.4485620335,200000,200000,9058691855.73094
2023-05-12,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-12,PROLLS-23MAY,2023-06-02,160023.48369254245,200000,200000,10024935076.973173
2023-05-13,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-13,PROLLS-23MAY,2023-06-02,164477.04081632654,200000,200000,9025109166.753437
2023-05-14,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-14,PROLLS-23MAY,2023-06-02,168558.67346938775,200000,200000,9706596047.219908
2023-05-15,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-15,PROLLS-23MAY,2023-06-02,168558.67346938775,200000,200000,9706596047.219908
2023-05-16,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-16,PROLLS-23MAY,2023-06-02,171052.11016445412,200000,200000,9479039685.957352
2023-05-17,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-17,PROLLS-23MAY,2023-06-02,169387.75510204083,200000,200000,9471053727.613495
2023-05-18,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-18,PROLLS-23MAY,2023-06-02,172448.97959183675,200000,200000,9138900458.14244
2023-05-19,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-19,PROLLS-23MAY,2023-06-02,171428.57142857142,200000,200000,9183673469.387754
2023-05-20,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-20,PROLLS-23MAY,2023-06-02,171428.57142857142,200000,200000,9183673469.387754
2023-05-21,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-21,PROLLS-23MAY,2023-06-02,171428.57142857142,200000,200000,9183673469.387754
2023-05-22,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
2023-05-22,PROLLS-23MAY,2023-06-02,164732.91990009314,200000,200000,9600226959.9319
2023-05-23,PROLLS-23JUN,2023-07-07,248097.4575156522,200000,200000,13114437391.319025
